epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,443.667,1.12402,1.73092,1.51993,0.4632,0.55928,0.47976,0.32805,1.04297,1.19427,1.43178,0.00999158,0.00333053,0.00999158,0.00333053,0.00999158,0.00333053,0.00999158,0.00333053
2,816.453,1.1797,1.51561,1.57095,0.41693,0.38255,0.36389,0.21776,1.46037,1.68573,1.90522,0.0198926,0.00663087,0.0198926,0.00663087,0.0198926,0.00663087,0.0198926,0.00663087
3,1070.37,1.30758,1.73667,1.69852,0.67299,0.3201,0.33454,0.19674,1.38549,1.72876,1.7787,0.0296947,0.00989822,0.0296947,0.00989822,0.0296947,0.00989822,0.0296947,0.00989822
4,1280.76,1.36847,1.80334,1.75248,0.36807,0.36773,0.34774,0.22017,1.35617,1.57297,1.81533,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1501.68,1.32887,1.75633,1.72456,0.69749,0.32923,0.36314,0.22549,1.27857,1.45948,1.68067,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1721.95,1.25964,1.66606,1.65332,0.75778,0.3646,0.41055,0.26294,1.21748,1.33759,1.62142,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,1907.24,1.22416,1.59062,1.63851,0.75557,0.38418,0.42628,0.28128,1.14184,1.31015,1.54567,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2098.05,1.20454,1.55928,1.60575,0.72402,0.41115,0.43317,0.28286,1.14835,1.22082,1.53042,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,2283.22,1.16521,1.49673,1.58271,0.78923,0.38639,0.4772,0.31976,1.12116,1.15765,1.50389,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,2467.05,1.13409,1.43511,1.55237,0.45362,0.50159,0.47768,0.32589,1.05656,1.10513,1.43438,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,2651.94,1.13507,1.42892,1.55399,0.44072,0.47637,0.46272,0.32461,1.02855,1.13646,1.40879,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,2841.87,1.11684,1.40245,1.53557,0.80482,0.42489,0.50378,0.35381,0.99197,1.05881,1.38274,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,3030.09,1.10084,1.36151,1.51504,0.63823,0.44685,0.51309,0.3449,1.04436,1.05215,1.39882,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,3216.37,1.07877,1.36652,1.50632,0.50599,0.51338,0.49509,0.33196,1.05254,1.07228,1.40738,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,3405.77,1.06547,1.31314,1.48036,0.50255,0.50396,0.50761,0.35804,0.97757,1.00333,1.35871,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,3593.34,1.07408,1.30247,1.4891,0.48293,0.53071,0.53403,0.37313,1.00246,0.98368,1.36051,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,3780.68,1.05133,1.26712,1.46042,0.5292,0.50382,0.51955,0.371,0.96631,0.97686,1.33442,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,3966.02,1.03344,1.2568,1.45159,0.51983,0.53208,0.54706,0.38094,0.93182,0.93969,1.29173,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,4152.98,1.03745,1.23683,1.45693,0.55862,0.58895,0.56767,0.39717,0.94248,0.92484,1.30767,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,4339.24,1.02395,1.19581,1.44019,0.51971,0.55757,0.53131,0.37607,0.95199,0.98781,1.33043,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,4524.36,1.01389,1.19717,1.43914,0.52615,0.57972,0.55285,0.38749,0.96052,0.92824,1.33643,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,4708.87,1.00597,1.17972,1.42621,0.56696,0.5433,0.54776,0.3918,0.92067,0.92856,1.29915,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,4901.02,1.00041,1.16055,1.4289,0.54628,0.61141,0.57906,0.41667,0.87989,0.88784,1.25091,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,5086.38,1.00321,1.15374,1.42496,0.6346,0.58739,0.58492,0.41818,0.92779,0.8736,1.29686,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,5271.66,0.98441,1.13561,1.41084,0.55836,0.60538,0.5837,0.41673,0.90082,0.85986,1.26961,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
