epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.202,0.81333,0.81186,1.12247,0,0,0,0,0,0,0,0.000475531,0.000475531,0.000475531
2,334.155,0.84234,0.86546,1.13464,0,0,0,0,0,0,0,0.000948149,0.000948149,0.000948149
3,457.117,0.88083,0.92217,1.1581,0,0,0,0,0,0,0,0.00140599,0.00140599,0.00140599
4,595.754,0.88277,0.94097,1.16094,0,0,0,0,0,0,0,0.00137933,0.00137933,0.00137933
5,724.26,0.88681,0.92864,1.15518,0,0,0,0,0,0,0,0.0013415,0.0013415,0.0013415
6,845.685,0.86355,0.89128,1.1499,0,0,0,0,0,0,0,0.00129391,0.00129391,0.00129391
7,970.022,0.84704,0.90089,1.14359,0,0,0,0,0,0,0,0.00123728,0.00123728,0.00123728
8,1112.42,0.8496,0.86057,1.14035,0,0,0,0,0,0,0,0.00117253,0.00117253,0.00117253
9,1257.7,0.81882,0.81174,1.12215,0,0,0,0,0,0,0,0.00110066,0.00110066,0.00110066
10,1407.24,0.81287,0.82699,1.12222,0,0,0,0,0,0,0,0.00102282,0.00102282,0.00102282
11,1553.5,0.80008,0.77848,1.1136,0,0,0,0,0,0,0,0.00094023,0.00094023,0.00094023
12,1714.8,0.78318,0.76159,1.10332,0,0,0,0,0,0,0,0.00085419,0.00085419,0.00085419
13,1869.15,0.77522,0.74071,1.09675,0,0,0,0,0,0,0,0.00076606,0.00076606,0.00076606
14,2015.8,0.7534,0.70834,1.08453,0,0,0,0,0,0,0,0.00067723,0.00067723,0.00067723
15,2157.86,0.74327,0.70398,1.08987,0,0,0,0,0,0,0,0.0005891,0.0005891,0.0005891
16,2306.22,0.73939,0.69022,1.07841,0,0,0,0,0,0,0,0.00050306,0.00050306,0.00050306
17,2432.77,0.72086,0.65225,1.07347,0,0,0,0,0,0,0,0.000420468,0.000420468,0.000420468
18,2546.2,0.72162,0.63628,1.06847,0,0,0,0,0,0,0,0.000342625,0.000342625,0.000342625
19,2662.18,0.70692,0.62321,1.06288,0,0,0,0,0,0,0,0.00027076,0.00027076,0.00027076
20,2770.42,0.69945,0.62183,1.06427,0,0,0,0,0,0,0,0.000206005,0.000206005,0.000206005
21,2882.83,0.5984,0.42956,0.98246,0,0,0,0,0,0,0,0.000149383,0.000149383,0.000149383
22,2997.1,0.57878,0.39174,0.97325,0,0,0,0,0,0,0,0.000101785,0.000101785,0.000101785
23,3105.93,0.57274,0.38919,0.96777,0,0,0,0,0,0,0,6.3963e-05,6.3963e-05,6.3963e-05
24,3216.44,0.56615,0.3835,0.9693,0,0,0,0,0,0,0,3.65129e-05,3.65129e-05,3.65129e-05
25,3381.05,0.55967,0.37768,0.97127,0.71182,0.71072,0.71417,0.5625,0.69677,0.62556,0.90772,1.98677e-05,1.98677e-05,1.98677e-05
